org,verdict,blocks,block_srcs,own_src,third_src,months,nar_kb,nums,blk_with_before,blk_with_fail,blk_with_actor,blk_dual,auto,aug,fail,variants,top_docs
Weaviate,CORE,41,23,109,0,17,2602.8,940,23,6,13,1,125,131,95,Weaviate,"transcripts/channels/Weaviate/DSPy_End-to-End_Meetup_in_San_Francisco__Y81DoFmt-2U.md|transcripts/channels/Weaviate/Deep_Learning_with_Letitia_Parcalabescu_-_Weaviate_Podcast_#__KeWCJ6NfPds.md|transcripts/channels/Weaviate/Founding_Weaviate_with_Bob_van_Luijt_and_Etienne_Dilocker_-___pvv-vnT-LfQ.md|transcripts/channels/Weaviate/Agent_Experience_with_Matt_Biilmann,_Sebastian_Witalec,_and___MAE3I8O_w84.md|transcripts/channels/Weaviate/Pyversity_with_Thomas_van_Dongen_-_Weaviate_Podcast_#132!__L2N1qvfP7tg.md"
NVIDIA Developer,CORE,38,25,201,0,11,2091.2,1448,12,5,10,2,183,63,85,NVIDIA Developer,"transcripts/channels/NVIDIA_Developer/A_New_Era_for_Generalist_Robotics_The_Rise_of_Humanoids_NVID__BmD22FNOAY4.md|transcripts/channels/NVIDIA_Developer/Building_Towards_Self-Driving_Codebases_with_Long-Running,_A__2Fp3jIrFTMo.md|transcripts/channels/NVIDIA_Developer/Frontiers_of_AI_and_Computing_A_Conversation_With_Yann_LeCun__eyrDM3A_YFc.md|transcripts/channels/NVIDIA_Developer/Accelerate_AI_through_Open_Source_Inference_NVIDIA_GTC__43mHY4HA0lo.md|transcripts/channels/NVIDIA_Developer/Advancing_to_AI's_Next_Frontier_Insights_From_Jeff_Dean_and___DqMIYc-keBQ.md"
Intel,CORE,35,20,100,0,12,854.4,724,12,5,20,1,100,64,39,Intel,"transcripts/channels/Intel/AI_Industrialization_The_Next_Frontier_for_Global_Enterprise__fSadUMtpwcY.md|transcripts/channels/Intel/AI’s_Next_Frontier_Human_Collaboration,_Data_Strategy,_and_S__hFTRv3Va5IE.md|transcripts/channels/Intel/Core_Ultra_Series_3_Launch_Event_Intel__KlIlFt2Fj1c.md|transcripts/channels/Intel/AI_That_Works_How_Google_Cloud_Delivers_Impact_Intel__6u9xF_V4ZtU.md|transcripts/channels/Intel/AI_at_the_Edge_Transforming_Industries_and_the_Workplace​_In__mrWTLjitaX4.md"
Siemens,CORE,35,19,64,0,6,729.3,574,13,6,15,1,302,23,43,Siemens,"transcripts/channels/Siemens/How_to_Scale_Industrial_AI_in_Real_Factory_Operations__46KctH5TgSs.md|transcripts/channels/Siemens/Siemens_&_Amazon_The_Strategy_Behind_Industrial_AI__A2P5R2PAhrY.md|transcripts/channels/Siemens/Scaling_Industrial_AI_from_Months_to_Days,_Siemens_and_AWS_J__356iStxtsoo.md|transcripts/channels/Siemens/Siemens,_Capgemini,_EDP_and_Kraken_on_how_AI_will_transform___tolLHQWJzKY.md|transcripts/channels/Siemens/How_Physical_AI_is_Transforming_Industries_AWS_and_Siemens_o__EfYVIaGQwts.md"
Snowflake,CORE,29,18,96,0,8,686.8,440,15,1,17,0,95,9,28,Snowflake,"transcripts/channels/Snowflake/Snowflake_Summit_2026_Opening_Keynote_With_Sridhar_Ramaswamy__F34xlRoQ3eQ.md|transcripts/channels/Snowflake/How_AI_Transforms_Retail,_Finance_and_Manufacturing_in_2026__11degQs3L7c.md|transcripts/channels/Snowflake/Snowflake_Summit_2026_Builder_Keynote__WFR07HIvCrQ.md|transcripts/channels/Snowflake/BUILD_2025_Opening_Keynote_Building_the_Agentic_AI_Future__MPLMS0736zI.md|transcripts/channels/Snowflake/Snowflake_Build_London_Keynote__9LOP86qaw34.md"
Google Developers,CORE,28,16,185,0,8,1431.7,841,8,5,10,0,90,20,92,Google Developers,transcripts/channels/Google_Developers/Defining_the_agentic_AI_era__bc4QwDd5jB0.md|transcripts/channels/Google_Developers/Beyond_the_keynote_with_Sundar_Pichai__9C20esBUf-Q.md|transcripts/channels/Google_Developers/Introducing_Gemini_Robotics_2__-rYFDefcq3k.md|transcripts/channels/Google_Developers/Bring_the_power_of_on-device_AI_to_life_with_Google_AI_Edge___boy-UjB8hpA.md|transcripts/channels/Google_Developers/Developer_Keynote_(Google_IO_'26)_-_Audio_Described__eC7t22gDwWo.md
ServiceNow,CORE,28,12,130,0,8,472.8,453,13,2,6,3,124,24,28,ServiceNow,transcripts/channels/ServiceNow/Welcome_to_Agentic_Business_ServiceNow_Knowledge_2026_Openin__jeo2V1w-Peg.md|transcripts/channels/ServiceNow/The_Blueprint_for_Agentic_Business_ServiceNow_Knowledge_2026__q8kaVEkTWho.md|transcripts/channels/ServiceNow/UI-Vision_Improving_‘Digital_Agents’_Capable_of_Real_Actions__JcXS4AKTfrQ.md|transcripts/channels/ServiceNow/Introducing_the_ServiceNow_AI_Platform_Zurich_release__D2CpKOknTSo.md|transcripts/channels/ServiceNow/Michael_Park's_AI_Whiteboard_Masterclass__0Fmw61s8CKc.md
Pinecone,CORE,26,18,117,0,14,2636.8,836,9,2,17,1,106,203,57,Pinecone,"transcripts/channels/Pinecone/RAG_Brag_with_Kap_Sharma_of_Wipro__i_EOgO7W-jM.md|transcripts/channels/Pinecone/AIAgents_in_Production_with_Delphi,_Seam_AI,_and_APIsec__OSvDO9VtypU.md|transcripts/channels/Pinecone/Build_RAG_Workflows_in_Minutes_with_Pinecone_+_n8n__Gcaygufjt6M.md|transcripts/channels/Pinecone/Supercharge_Conversational_AI_with_Pinecone_x_Haystack__TYuoQjWur8w.md|transcripts/channels/Pinecone/Beyond_Chatbots_Making_an_impact_with_AI_on_multiple_fronts__jMwptQSOeuo.md"
Cohere,CORE,25,15,133,0,10,3553.7,1719,12,4,0,0,221,123,299,Cohere,"transcripts/channels/Cohere/ML_Summer_School_2026_-_Evaluations_with_Laurie_Voss__h72YYAUWwx0.md|transcripts/channels/Cohere/Fatemeh_Ghezloo_-_Making_Sense_of_Slides_From_Multimodal_Dat__naW98Kh-xvE.md|transcripts/channels/Cohere/Forecasting_world_events_with_language_models,_with_Shashwat__bM1C1F3hRS4.md|transcripts/channels/Cohere/Gauri_Kholkar_-_Context_Aware_Prompt_Injection_Testing_and_R__-Ug6-aLqhWY.md|transcripts/channels/Cohere/Ilya_Larchenko_and_Gleb_Zarin_-_Using_multi_task_robotics_Vi__4zPY3HMuwKQ.md"
IBM Technology,CORE,24,14,80,0,3,770.9,635,10,2,11,0,155,27,86,IBM Technology,"transcripts/channels/IBM_Technology/The_future_of_software_engineering,_tokenmaxxing_and_AI_in_h__EKULOf_Cy0w.md|transcripts/channels/IBM_Technology/6_Ways_to_Enhance_Developer_Productivity_with_AI__9LfJq4xXifg.md|transcripts/channels/IBM_Technology/Can_you_social_engineer_an_AI_Plus_AI_worms_and_the_nonhuman__JHDsM8ER7tk.md|transcripts/channels/IBM_Technology/Claude_Fable_5_&_Apple’s_NVIDIA_deal__aByPOYCEH6I.md|transcripts/channels/IBM_Technology/GLM-5.2_The_real_security_risk_Plus_Vibe_hunting,_the_end_of__qXGJ7pi-XOo.md"
