org,verdict,blocks,block_srcs,own_src,third_src,months,nar_kb,nums,blk_with_before,blk_with_fail,blk_with_actor,blk_dual,auto,aug,fail,variants,top_docs
Infosys,CORE,8,4,42,0,3,310.2,560,4,1,4,0,11,8,30,Infosys,"transcripts/channels/Infosys/The_Boardroom_Mandate_Scaling_AI_for_Business_Impact_Davos_2__0ixUiXr2DVY.md|transcripts/channels/Infosys/The_Future_of_Customer_Experience_-_Creativity,_Trust_&_Tech__taeDyZI86h8.md|transcripts/channels/Infosys/Brand_Finance_Global_500_Launch_2026_AI_Rising_The_Evolution__2GboyaQ1VKs.md|transcripts/channels/Infosys/Live_Infosys_Q1_FY27_Press_Conference__mTnEo9TGv6Y.md"
Cursor,CORE,8,3,16,0,2,198.3,220,1,3,3,1,24,4,23,Cursor,"transcripts/channels/Cursor/Opening_Keynote,_Michael_Truell_Compile_26__fWa7uxyhVDE.md|transcripts/channels/Cursor/Running_128_Coding_Agents_at_Once__-jnwTZ789V0.md|transcripts/channels/Cursor/How_are_coding_agents_changing_software_engineering__blgUmyMiROI.md"
Oracle,CORE,7,6,104,0,3,257.1,240,3,1,1,0,50,2,22,Oracle,transcripts/channels/Oracle/Oracle_at_Gartner_CSO_Demand_More_from_Enterprise_AI__yhrBN_Ka-iA.md|transcripts/channels/Oracle/AI_Changes_Everything_What_Leaders_Must_Get_Right_About_AI__AF8rr7rCl38.md|transcripts/channels/Oracle/Lead_the_Change_Innovate_with_AI_Built_Into_Your_Database._E__2fz5FvOpybg.md|transcripts/channels/Oracle/NHS_Shared_Business_Services_Releasing_Time_Back_to_Care_wit__x2Ij30XkWh8.md|transcripts/channels/Oracle/Oracle_Sales_Agentic_Apps_From_Data_to_Action__p1zlbCWAnK8.md
GE HealthCare,CORE,7,4,87,0,2,481.8,535,2,0,0,0,45,8,20,GE HealthCare,transcripts/channels/GE_HealthCare/X-ray_matters_-_How_empathy_in_design_shapes_the_patient_exp__uIoKgJC3lAU.md|transcripts/channels/GE_HealthCare/Converging_Beams_Radiation_Therapy_meets_Radioligand_Therapy__NeDgw9PTrcg.md|transcripts/channels/GE_HealthCare/MUSE_User_Group_Meeting_January_2026_–_Dr_Cihan_Ilyas_Sevgic__EVcRu2rMefA.md|transcripts/channels/GE_HealthCare/Musculoskeletal_Ultrasound_for_Real-Time_Diagnosis_and_Insig__mB_Vyk6Ro6I.md
리바이스,CORE,6,2,0,2,1,23.3,79,6,0,0,0,4,0,1,리바이스,transcripts/channels/SAP/Customer_Success_Keynote_Connected_to_Win_From_Moment_to_Mom__WpDHkeHIezc.md|transcripts/channels/SAP/Levi_Strauss_&_Co._and_SAP_on_Scaling_AI_Agents_SAP_Sapphire__AjNKbm2YJfA.md
세일즈포스,PART,6,1,0,2,1,31.9,68,6,0,4,0,0,0,1,세일즈포스,transcripts/channels/Salesforce/Build_the_Future_with_Salesforce_Headless_360_TDX_2026_Keyno__aKsZdyyzcfU.md
Google,CORE,5,5,70,1,3,292.3,212,1,0,2,0,23,0,7,Google,transcripts/channels/Google/Google_Antigravity_IO_2026_Keynote__T_fnhr5lVBw.md|transcripts/channels/Google/Helping_Radiologists_Detect_Breast_Cancer_with_AI__4BzoMc3acOY.md|transcripts/channels/Google/Mapping_New_Medicines_Where_the_Internet_Lives__o-8WCNb3BQY.md|transcripts/channels/Google/Puppets_x_AI_Behind_the_Scenes_with_Timmy_TPU__jHEEaQJxJyo.md|transcripts/channels/Google/Sundar_Pichai_Opening_Remarks_IO_2026_Keynote__duHhImuaZGU.md
Upstage,CORE,5,4,56,0,3,811.2,830,5,1,2,0,41,27,42,Upstage,transcripts/channels/Upstage/KLUE_Seminar__3SUBLhZtJGk.md|transcripts/channels/Upstage/Best_Option_Simplifies_True_Advance’s_Underwriting_Stack_wit__kT6HmgwQTmQ.md|transcripts/channels/Upstage/How_Amwins_Transformed_Group_Benefits_Underwriting_with_AI-P__87iLEdL_wL4.md|transcripts/channels/Upstage/[Upstage_Talks]_Addressing_Baumol’s_Cost_Disease_with_Machin__v4oRPf2rZOY.md
NAVER Cloud,CORE,5,4,85,0,4,843.4,589,3,0,1,0,63,15,55,NAVER Cloud,"transcripts/channels/NAVER_Cloud/[Brown-Bag_런치세미나]_2024년_보안트렌드_살펴보기__6OUSU8wzvac.md|transcripts/channels/NAVER_Cloud/NVIDIA_NeMo_마이크로서비스를_이용한_AI_Agent_고도화_(NVIDIA_나승구_데브렐)__z9vzcoCZOSc.md|transcripts/channels/NAVER_Cloud/[온라인_웨비나]_CLOVA_Studio를_활용해_프롬프트,_모델_튜닝_및_API_발급하기_(중급)__4BATn5-TOWQ.md|transcripts/channels/NAVER_Cloud/월간_네이버웍스_EP.13_Expert_Salon_'마케터의_현업_이야기'__QAZsS0S9iXo.md"
ElevenLabs,CORE,5,4,102,0,3,612.9,408,4,0,1,0,45,3,19,ElevenLabs,"transcripts/channels/ElevenLabs/Powering_India’s_largest_voice-driven_car_retail_operation__gOGXknfpAX0.md|transcripts/channels/ElevenLabs/AI_Agents_for_Creative_Production_—_ElevenLabs_Summit_Warsaw__RjcxQg5abUI.md|transcripts/channels/ElevenLabs/How_BCG,_Naturgy,_and_Konecta_Are_Deploying_AI_Agents_in_Pro__TPV30xP1gyM.md|transcripts/channels/ElevenLabs/How_Polsat_Plus_Group_Is_Leading_Polish_Media_in_the_AI_Era___ndnYh8DPEBE.md"
Microsoft Developer,CORE,5,4,66,0,2,594.7,349,1,0,0,0,23,93,52,Microsoft Developer,transcripts/channels/Microsoft_Developer/Why_we_built_Azure_HorizonDB_for_PostgreSQL_POSETTE_An_Event__U3ssJlQAJuA.md|transcripts/channels/Microsoft_Developer/Discovering_Power_App_Data_with_M365_Copilot_using_MCP_DEM36__mJ-7v30gfiU.md|transcripts/channels/Microsoft_Developer/Linux_and_PostgreSQL_in_the_Multiverse_of_Connections_POSETT__rSoK4xVIGyc.md|transcripts/channels/Microsoft_Developer/PostgreSQL_17_vs_18_Side‑by‑Side_Performance_Wins_in_Real‑Wo__XCv9Tviftgo.md
Cerebras,CORE,5,4,23,0,3,121.8,99,2,0,2,0,30,0,3,Cerebras,"transcripts/channels/Cerebras/Cerebras_CISO_Naor_Penso_on_AI_Security_&_The_CrowdStrike_Pa__sD2kVXOfhLs.md|transcripts/channels/Cerebras/Big_Chip_Club_Paul_Klein_(BrowserBase_CEO)_on_the_OpenClaw_S__HKL92gQmF_A.md|transcripts/channels/Cerebras/Building_Fast_with_OpenAI's_Codex_Spark,_Powered_by_Cerebras__teR1JelXJpE.md|transcripts/channels/Cerebras/Cerebras_Big_Chip_Club_Ajay_Joshi_on_Zero-Trust_AI_&_Private__o5zFrYbASow.md"
Zoox,CORE,5,3,43,0,2,217.1,120,4,0,1,1,158,2,18,Zoox,"transcripts/channels/Zoox/10_Years_of_Zoox._Reflections_and_Predictions.__DYcujjMs3Uo.md|transcripts/channels/Zoox/Inside_The_Ride_Scaling_Zoox_Episode_One__6srqKuBN0NE.md|transcripts/channels/Zoox/Deploying_Zoox_in_new_cities_with_CEO,_Aicha_Evans__OmYRC_ZOYRY.md"
Nissan,CORE,5,2,67,0,1,222.5,266,5,3,1,0,19,0,23,Nissan,transcripts/channels/Nissan/Nissan_Intelligent_Factory_Unveil__eQ6G3_45YnI.md|transcripts/channels/Nissan/At_Nissan_Intelligent_Factory_we’re_building_the_future_of_m__ooFrWpxztOk.md
Philips,CORE,5,2,33,0,1,101.6,103,2,0,1,0,10,8,5,Philips,"transcripts/channels/Philips/The_Future_of_Medicine_Is_Already_Here_AI,_Connected_Care_&___wYmHA5Pr6_g.md|transcripts/channels/Philips/Why_Lived_Experience_Matters_in_Digital_Health_&_AI_Healthca__NJzIYjcnYig.md"
SK hynix,CORE,4,3,130,0,2,564.4,623,4,0,1,0,20,1,37,SK hynix,"transcripts/channels/SK_hynix/AI가_바꾸는_반도체의_미래!_AI시대를_주도하기_위한_우리들의_자세는_방구석_반도체_EP.3_(feat.___MDkZB8vDgqs.md|transcripts/channels/SK_hynix/[Analyst_Interview_한국투자증권_채민숙_위원]_과거와_다른_메모리_Cycle,_다음_도약을_위__w6b8_cSG_6o.md|transcripts/channels/SK_hynix/[DECODE_AI]_황철성_교수가_알려주는_AI를_혁신할_‘뉴로모픽_반도체’__qKJx8U0LedE.md"
Reckitt,CORE,4,3,73,0,3,283.6,602,1,0,0,0,7,0,18,Reckitt,"transcripts/channels/Reckitt/Reckitt_Focus_On_Sustainability__m92oCw_UJnY.md|transcripts/channels/Reckitt/JP_Morgan_Consumer_CEO_Series_An_interview_with_Kris_Licht,___cAT6AqBk_-k.md|transcripts/channels/Reckitt/Q3_Trading_and_Strategic_Update__zN3xR9s4uZM.md"
Mistral AI,CORE,4,3,15,1,1,204.4,107,2,2,3,0,32,10,16,Mistral AI,transcripts/channels/Mistral_AI/AI_infrastructure_is_the_new_critical_infrastructure_AI_Now___QxgcNjBO580.md|transcripts/channels/Mistral_AI/Advancing_innovation_at_the_European_Patent_Office_AI_Now_Su__hZQa78vKxZ4.md|transcripts/channels/Mistral_AI/Best_practices_for_building_autonomous_AI_workflows_AI_Now_S__lluXpzkLpZo.md
Tesla,CORE,4,2,47,0,2,128.0,204,2,1,1,0,28,0,6,Tesla,transcripts/channels/Tesla/Tesla_Q3_2023_Financial_Results_and_Q&A_Webcast_(Full_Audio)__O5aJbvWr4gs.md|transcripts/channels/Tesla/Las_Megas_Tesla_Megablock_Event__wNSS19XKXRE.md
Google DeepMind,PART,4,1,17,0,1,92.1,45,4,2,0,3,14,2,17,Google DeepMind,transcripts/channels/Google_DeepMind/When_millions_of_AI_agents_meet__V04bm-3d6EQ.md
kakao tech,CORE,3,3,100,0,1,713.9,592,0,1,0,1,94,32,80,kakao tech,transcripts/channels/kakao_tech/[ifkakao2021]_Knowledge_Graph_for_Enterprise__fMV_TRN5StI.md|transcripts/channels/kakao_tech/[ifkakao2021]_Traffic_Time_Speed_Prediction_of_Kakao_Mobilit__D92J3FC2H_0.md|transcripts/channels/kakao_tech/[ifkakao2021]_자동화된_클라우드를_위하여_2.0__l4NC9zzQmRo.md
Orange,CORE,3,3,50,0,1,330.7,395,1,1,0,0,32,6,28,Orange,transcripts/channels/Orange/Social_Inclusion_and_Fintech_Balancing_Innovation_and_Equity__FltorFwspZ8.md|transcripts/channels/Orange/The_Impact_of_Agentic_AI_on_Telco_Transformation_&_Innovatio__c1XCSgKzhp4.md|transcripts/channels/Orange/VivaTech_2026_Christel_Heydemann_Keynote__yflUNqZ6T9A.md
Meta,CORE,3,3,128,0,3,769.5,233,1,0,1,0,22,27,13,Meta,transcripts/channels/Meta/Boz_To_The_Future_#27_The_Future_According_to_Shyam_Sankar__bOTy3Q5_trw.md|transcripts/channels/Meta/Keke_Palmer_Finds_Her_AR_Style_w_Don_Allen_II_Are_We_There_Y__5J617LZETFw.md|transcripts/channels/Meta/The_Metaverse_and_How_We'll_Build_It_Together_--_Connect_202__Uvufun6xer8.md
Boston Dynamics,CORE,3,3,51,0,3,210.1,108,3,1,1,0,84,0,21,Boston Dynamics,transcripts/channels/Boston_Dynamics/ST_Engineering_MRAS_Boston_Dynamics__mH4NLGI64MM.md|transcripts/channels/Boston_Dynamics/Spot_at_Ontario_Power_Generation_Automating_Circuit_Breaker___CyjYIgnsIeY.md|transcripts/channels/Boston_Dynamics/Spot_at_POSCO_Boston_Dynamics__V7D7jXF2pj8.md
Mayo Clinic,CORE,3,2,37,0,1,310.2,321,2,0,0,0,4,8,34,Mayo Clinic,transcripts/channels/Mayo_Clinic/From_Joint_Damage_to_Regeneration_Tomorrow's_Cure_Season_5_E__Q1XPvZLtXAY.md|transcripts/channels/Mayo_Clinic/AI-ECG_helps_physicians_detect_hidden_heart_condition__fb-Z0yHiFXg.md
TCS,PART,2,2,73,0,2,344.2,301,2,0,0,1,43,10,16,TCS,"transcripts/channels/TCS/TCS_ADD™_Safety,_A_next_generation_AI_Platform_for_Pharmacov__tpMRbkwLiPs.md|transcripts/channels/TCS/WJEC_transforms_its_exam_processing_systems_for_seamless_use__OiN7wr6bh_k.md"
Microsoft,PART,2,2,85,1,2,874.0,161,2,0,2,1,55,66,6,Microsoft,transcripts/channels/Microsoft/AI's_Mythos_Moment_Preparing_governments_for_AI_Former_UK_Pr__vHlFzbE78jk.md|transcripts/channels/Microsoft/How_AI_is_helping_New_Zealand_build_safer_after_disaster__jBJTIBjZ9iY.md
SambaNova,PART,2,2,16,0,2,89.1,32,1,0,1,0,10,4,6,SambaNova,transcripts/channels/SambaNova/ACE_Explained_by_the_Creators_How_Agentic_Context_Engineerin__w8C2d__ArIA.md|transcripts/channels/SambaNova/What_Is_a_Model__Fcu-peZt0lM.md
Telenor,PART,2,1,23,0,1,137.0,108,1,0,0,1,17,1,21,Telenor,transcripts/channels/Telenor/Telco_Tech_Talks_Why_is_Amazon_so_successful__u-hbE8vRNw8.md
IQVIA,PART,1,1,48,0,1,129.3,777,1,0,0,0,9,0,7,IQVIA,transcripts/channels/IQVIA/Vigilance_Detect_+_Extract_Turning_Patient_Support_Data_into__Nir0td6W5k8.md
SoftBank,PART,1,1,66,0,1,233.9,393,0,0,1,0,28,0,9,SoftBank,transcripts/channels/SoftBank/ソフトバンク、SB_OAI_Japan、ソフトバンクグループおよびOpenAIによる法人向け特別イベント__rPdQXVNako0.md
AMD,PART,1,1,111,0,1,804.4,144,0,0,0,1,71,19,6,AMD,transcripts/channels/AMD/The_Future_of_Work_Why_IT_Leaders_are_Turning_to_AI_PCs__75rU1ZTik1c.md
Runway,PART,1,1,94,0,1,233.8,100,1,0,0,0,9,6,26,Runway,transcripts/channels/Runway/Panel_Discussion_AI_Film_Festival_Los_Angeles_2024_Runway__BWtKk-i0RPk.md
Boston Consulting Group,PART,1,1,13,0,1,54.9,76,1,0,1,0,7,1,9,Boston Consulting Group,"transcripts/channels/Boston_Consulting_Group/With_180_Years_of_Reinvention,_Pearson_Takes_on_the_AI_Era__YBe0oiv01N0.md"
DuckDuckGo,PART,1,1,16,0,1,187.7,63,0,0,0,0,9,0,5,DuckDuckGo,transcripts/channels/DuckDuckGo/Duck_Tales_Customizing_DuckDuckGo_—_now_you_can_exclude_cert__kNE6lG4EDgM.md
구글 클라우드,PART,1,1,0,2,1,10.6,16,0,0,0,0,3,0,0,구글 클라우드,transcripts/channels/Weights_&_Biases/From_research_to_reality_in_the_age_of_(Gen)AI__Phc6mS50x_w.md
Telefónica,THIN,0,0,68,0,0,292.8,399,0,0,0,0,25,3,29,Telefónica,
LinkedIn,THIN,0,0,61,0,0,427.8,359,0,0,0,0,5,0,37,LinkedIn,
Mercedes-Benz,THIN,0,0,89,0,0,469.4,336,0,0,0,0,43,7,6,Mercedes-Benz,
L'Oréal,THIN,0,0,54,0,0,191.5,191,0,0,0,0,1,1,6,L'Oréal,
Volvo Cars,THIN,0,0,66,0,0,157.3,176,0,0,0,0,24,0,10,Volvo Cars,
 misfetched Zoox gaming,THIN,0,0,2,0,0,127.2,176,0,0,0,0,1,0,11, misfetched Zoox gaming,
유니레버,THIN,0,0,0,2,0,27.7,150,0,0,0,0,0,0,1,유니레버,
NTT DATA,THIN,0,0,24,0,0,87.3,134,0,0,0,0,3,0,4,NTT DATA,
Chegg,THIN,0,0,88,0,0,194.7,127,0,0,0,0,0,0,3,Chegg,
SK텔레콤,THIN,0,0,49,0,0,73.8,124,0,0,0,0,3,0,2,SK텔레콤,
IKEA,THIN,0,0,56,0,0,141.1,120,0,0,0,0,0,0,8,IKEA,
Apple Developer,THIN,0,0,96,0,0,816.0,118,0,0,0,0,57,6,61,Apple Developer,
Snap,THIN,0,0,44,0,0,164.8,113,0,0,0,0,1,23,19,Snap,
Nike,THIN,0,0,66,0,0,174.8,85,0,0,0,0,0,0,12,Nike,
마이크로소프트,THIN,0,0,0,2,0,42.3,84,0,0,0,0,0,0,0,마이크로소프트,
Swisscom,THIN,0,0,72,0,0,171.9,84,0,0,0,0,0,1,3,Swisscom,
BMW,THIN,0,0,61,0,0,118.8,83,0,0,0,0,5,0,3,BMW,
General Motors,THIN,0,0,16,0,0,138.1,75,0,0,0,0,0,1,0,General Motors,
Vertiv,THIN,0,0,68,0,0,81.8,51,0,0,0,0,8,0,5,Vertiv,
구체적인,THIN,0,0,0,6,0,56.4,38,0,0,0,0,3,0,2,구체적인,
KT,THIN,0,0,6,0,0,31.6,35,0,0,0,0,2,0,0,KT,
저는 IQVIA 인간 데이터 과학 연구소,THIN,0,0,0,4,0,4.8,35,0,0,0,0,0,0,0,저는 IQVIA 인간 데이터 과학 연구소,
Amazon,THIN,0,0,14,0,0,22.1,28,0,0,0,0,0,0,3,Amazon,
Samsung Semiconductor,THIN,0,0,14,0,0,49.5,28,0,0,0,0,1,0,2,Samsung Semiconductor,
Apple,THIN,0,0,26,0,0,60.0,27,0,0,0,0,4,0,2,Apple,
저는 IQIA 인간 데이터 과학 연구소,THIN,0,0,0,2,0,2.4,24,0,0,0,0,0,0,1,저는 IQIA 인간 데이터 과학 연구소,
Palunteer,THIN,0,0,0,2,0,37.7,19,0,0,0,0,5,0,1,Palunteer,
BYD,THIN,0,0,3,0,0,3.5,13,0,0,0,0,0,0,0,BYD,
Luma AI,THIN,0,0,29,0,0,147.6,12,0,0,0,0,6,1,0,Luma AI,
Slack,THIN,0,0,8,1,0,57.5,8,0,0,0,0,1,0,1,Slack,
Touring Club Schweiz,THIN,0,0,5,0,0,17.5,6,0,0,0,0,0,0,4,Touring Club Schweiz,
말씀하신,THIN,0,0,0,2,0,11.7,6,0,0,0,0,7,0,1,말씀하신,
Stability AI,THIN,0,0,7,0,0,32.3,4,0,0,0,0,0,0,0,Stability AI,
Adobe,THIN,0,0,8,0,0,35.9,4,0,0,0,0,3,0,0,Adobe,
nchath입니다. Azure 데이터 제품 그룹,THIN,0,0,0,2,0,3.0,4,0,0,0,0,0,0,0,nchath입니다. Azure 데이터 제품 그룹,
Eli Lilly,THIN,0,0,3,0,0,4.0,2,0,0,0,0,0,0,0,Eli Lilly,
Luma,THIN,0,0,0,2,0,45.5,1,0,0,0,0,5,0,0,Luma,
